Step,ackley_mlp_20250514_222306 - best_value,ackley_mlp_20250514_220635 - best_value,DeepEnsemble_ackley_std_20250514_215604 - best_value,ackley_mlp_20250514_215355 - best_value,CSV_VBLL_ackley_dense_precision_multirank_20250514_203755 - best_value,BLOB_EnsembleEnsemble_BLOB_ackley_20250514_144316 - best_value,CSV_BLOB_ackley_20250514_144056 - best_value,CSV_VBLL_ackley_dense_precision_multirank_20250514_223700 - best_value,CSV_BLOB_ackley_20250514_223354 - best_value,DeepEnsemble_ackley_std_20250514_223700 - best_value
0,17.53772802,17.53772802,18.93627955,17.7905608,18.88061111,20.7661553,17.95390352,19.19785178,18.78659938,20.88723979
1,17.32319042,17.53772802,18.32720661,17.53772802,18.88061111,,17.95390352,19.19785178,18.78659938,18.85898412
2,17.32319042,17.33978239,18.32720661,17.53772802,18.88061111,19.57203629,17.95390352,18.31297541,18.78659938,18.64494209
3,17.32319042,17.33978239,18.32720661,17.53772802,18.88061111,,17.95390352,17.60688878,18.78659938,18.64494209
4,17.32319042,17.33978239,18.32720661,17.53772802,18.12409934,19.39439908,17.95390352,17.60688878,17.57763281,18.64494209
5,17.32319042,17.33978239,18.32720661,17.53772802,17.91066232,,17.95390352,17.60688878,17.57763281,18.21363909
6,17.32319042,17.33978239,18.32720661,17.53772802,17.91066232,19.17488372,17.95390352,17.60688878,17.57763281,18.21363909
7,17.32319042,17.33978239,18.32720661,17.53772802,17.91066232,,17.89570237,17.60688878,17.3565105,18.21363909
8,17.32319042,17.33978239,17.80637172,17.53772802,17.91066232,19.17488372,17.89570237,17.60688878,17.3565105,18.21363909
9,17.32319042,17.33978239,17.80637172,17.53772802,17.91066232,,17.3565105,17.60688878,17.3565105,18.21363909
10,17.32319042,17.33978239,17.80637172,17.53772802,17.60140002,19.17488372,17.3565105,17.60688878,17.3565105,18.21363909
11,17.32319042,17.33978239,17.53743051,17.53014053,17.60140002,,17.3565105,17.60688878,17.3565105,18.21363909
12,17.32319042,17.33978239,17.53743051,17.53014053,17.60140002,19.17433888,17.3565105,17.60688878,17.3565105,18.21363909
13,17.32319042,17.33978239,17.53743051,17.33978239,17.60140002,,17.3565105,17.60688878,17.3565105,18.21363909
14,17.32319042,17.33978239,17.53743051,17.33978239,17.35235493,18.01504935,17.3565105,17.60688878,17.3565105,18.21363909
15,17.32319042,17.33978239,17.53743051,17.33978239,17.35235493,,17.3565105,17.60688878,17.3565105,18.21363909
16,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,17.3565105,18.21363909
17,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,17.3565105,18.21363909
18,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,17.3565105,18.21363909
19,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,17.3565105,18.03392733
20,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,17.3565105,18.03392733
21,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,17.3565105,17.95390352
22,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,17.3565105,17.95390352
23,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.95390352
24,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,,17.95390352
25,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.95390352
26,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,,17.53743051
27,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.53743051
28,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,,17.53743051
29,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.53743051
30,17.32319042,17.33978239,17.32319042,17.33978239,17.35235493,17.80504743,17.3565105,17.60688878,,17.53743051
31,17.32319042,17.32319042,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.53743051
32,17.32319042,17.32319042,17.32319042,17.33978239,17.35235493,17.68631525,17.3565105,17.60688878,,17.53743051
33,17.32319042,17.32319042,17.32319042,17.33978239,17.35235493,,17.3565105,17.60688878,,17.53743051
34,17.32319042,17.32319042,17.32319042,17.33978239,17.35235493,17.68631525,17.3565105,17.58935749,,17.53743051
35,17.32319042,17.32319042,17.32319042,17.33978239,17.35235493,,17.3565105,17.58935749,,17.53743051
