Step,BLOB_EnsembleEnsemble_BLOB_branin_20250514_214108 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_213042 - best_value,CSV_BLOB_branin_20250514_201819 - best_value,CSV_VBLL_branin_dense_precision_multirank_20250514_184208 - best_value,CSV_BLOB_branin_20250514_182545 - best_value,branin_mlp_20250514_182027 - best_value,branin_mlp_20250514_181650 - best_value,DeepEnsemble_branin_std_20250514_153152 - best_value,DeepEnsemble_branin_std_20250514_150500 - best_value,BLOB_EnsembleEnsemble_BLOB_branin_20250514_123208 - best_value,CSV_BLOB_branin_20250514_121019 - best_value
0,149.3153433,230.9423802,386.5536804,324.2542007,156.6076351,127.2809392,320.4312968,230.9423802,327.679326,330.8945017,312.2047047
1,,156.3181337,267.8624274,161.2946782,156.6076351,115.6594223,166.141919,195.179544,271.1462692,,286.8214987
2,149.3153433,156.3181337,203.6797036,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,164.9558298,234.8131892
3,,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,,234.8131892
4,146.1323424,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,176.456214,146.8994226,164.9558298,195.3596262
5,,156.3181337,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,174.7200741,146.8994226,,195.3596262
6,146.1323424,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,166.141919,174.7200741,146.8994226,164.9558298,195.3596262
7,,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,,195.3596262
8,146.1323424,130.7436392,194.9607378,159.0014723,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,164.9558298,195.3596262
9,,130.7436392,175.938998,131.7327733,156.6076351,110.1073731,155.3059199,174.7200741,146.8994226,,195.3596262
10,146.1323424,130.7436392,175.938998,131.7327733,141.2248195,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,195.3596262
11,,130.7436392,152.7607234,131.7327733,141.2248195,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
12,146.1323424,130.7436392,152.7607234,131.7327733,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
13,,130.7436392,145.4595854,124.2263832,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
14,146.1323424,130.7436392,145.4595854,124.2263832,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
15,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,,186.7223899
16,146.1323424,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,174.7200741,146.8994226,164.9558298,186.7223899
17,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
18,146.1323424,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
19,,130.7436392,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,,186.7223899
20,146.1323424,127.8833977,145.4595854,120.1020561,131.7327733,110.1073731,119.021178,155.1234952,141.9191229,164.9558298,186.7223899
