Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
0,-181.6891937,-189.1309509,-188.8242798,-185.2567444,-188.8242798,-185.8700562,-189.1309509,-188.8242798,-149.1621857,-159.3639221,-181.9958496,-182.3025208,-182.3025208
1,,-189.1309509,-188.8242798,-185.8700562,-188.8242798,-185.8700562,-189.1309509,-188.8242798,-188.8242798,,-181.9958496,-189.1309509,-189.1309509
2,-184.9500732,-189.1309509,-189.1309509,-188.8242798,-188.8242798,-189.1309509,-192.3918152,-188.8242798,-188.8242798,-184.9500732,-189.1309509,-189.1309509,-189.1309509
3,,-189.1309509,-189.1309509,-188.8242798,-189.1309509,-189.1309509,-192.3918152,-188.8242798,-188.8242798,,-189.1309509,-189.1309509,-189.1309509
4,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-188.8242798,-188.8242798,-185.5634003,-189.1309509,-189.1309509,-189.1309509
5,,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-188.8242798,-189.1309509,,-189.1309509,-189.1309509,-189.1309509
6,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-188.8242798,-189.1309509,-185.5634003,-189.1309509,-189.1309509,-189.1309509
7,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,-189.1309509,-189.1309509
8,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-185.5634003,-189.1309509,-189.1309509,-189.1309509
9,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,-189.1309509,-189.1309509
10,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-185.5634003,-189.1309509,,-189.1309509
11,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
12,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-185.5634003,-189.1309509,,-189.1309509
13,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
14,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-185.5634003,-189.1309509,,-189.1309509
15,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
16,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-185.5634003,-189.1309509,,-189.1309509
17,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
18,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-189.1309509
19,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
20,-189.1309509,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-189.1309509
21,,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
22,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-189.1309509
23,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-189.1309509
