Step,DeepEnsemble_pest_control_std_20250514_170530 - best_value,DeepEnsemble_pest_control_std_20250514_150101 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_122025 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_105357 - best_value,CSV_BLOB_pest_control_20250514_104232 - best_value,CSV_BLOB_pest_control_20250514_104129 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_103000 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005849 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005805 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003942 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003122 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_002747 - best_value,CSV_BLOB_pest_control_20250514_000511 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250513_232018 - best_value,pest_control_mlp_20250514_175734 - best_value,pest_control_mlp_20250514_180403 - best_value
0,13.1568,13.29,14.1696,13.04,12.85,12.9516,12.8664,16.7156,12.86,16.7156,12.992,13.05,15.8576,13.6676,12.9816,12.92
1,12.92,12.992,13.0244,,12.85,12.9516,12.8664,13.112,12.7904,,,13.05,12.992,13.0944,12.9816,12.92
2,12.92,12.92,12.82,13.04,12.85,12.85,12.8664,12.8664,12.7904,12.992,12.992,13.05,12.7904,13.0944,12.9816,12.92
3,12.85,12.7904,12.82,,12.85,12.85,12.8664,12.8664,12.7904,,,13.05,12.7904,13.0944,12.9816,12.92
4,12.85,12.7904,12.82,13.04,12.85,12.85,12.8664,12.8664,12.7904,12.992,12.982,13.05,12.7904,13.0944,12.9816,12.7904
5,12.8216,12.7904,12.82,,12.85,12.85,12.8664,12.8664,12.7904,,,13.05,12.7904,13.0944,12.9816,12.7904
6,12.8216,12.7904,12.82,12.85,12.85,12.85,12.8664,12.8664,12.7904,12.82,12.982,13.05,12.7904,12.6916,12.9816,12.7904
7,12.8216,12.7904,12.82,,12.85,12.85,12.8664,12.8664,12.7904,,,13.05,12.7904,12.6916,12.9816,12.7904
8,12.8216,12.7904,12.82,12.85,12.85,12.85,12.8664,12.8664,12.7904,12.82,,13.05,12.7904,12.6916,12.9816,12.7904
9,12.7904,12.7904,12.82,,12.85,12.85,12.8664,12.8664,12.7904,,12.7904,13.05,12.7904,12.6916,12.9816,12.7904
10,12.7904,12.7904,12.82,12.85,12.85,12.85,12.8664,12.8664,12.7904,12.82,,13.05,12.7904,12.6916,12.9816,12.7904
11,12.7904,12.7904,12.82,,12.85,12.85,12.8664,12.8664,12.5,,12.7904,13.05,12.7904,12.6916,12.82,12.6916
12,12.7904,12.7904,12.82,12.85,12.85,12.85,12.8664,12.82,12.5,12.82,,13.05,12.7904,12.6916,12.82,12.6916
13,12.7904,12.7904,12.82,,12.85,12.85,12.8664,12.82,12.5,,12.7904,13.05,12.7904,12.6916,12.82,12.6916
14,12.7904,12.7904,12.82,12.85,12.85,12.85,12.8664,12.82,12.5,12.82,,13.05,12.7904,12.6916,12.82,12.6916
15,12.7904,12.7904,12.82,,12.85,12.85,12.8664,12.82,12.5,,12.7904,13.05,12.7904,12.6916,12.82,12.6916
16,12.7904,12.7904,12.82,12.7904,12.85,12.85,12.8664,12.82,12.5,12.82,,13.05,12.7904,12.6916,12.82,12.6916
17,12.7904,12.7904,12.82,,12.85,12.85,12.8664,12.82,12.5,,12.7904,13.05,12.7904,12.6916,12.82,12.6916
18,12.7904,12.7904,12.82,12.7904,12.7904,12.85,12.5,12.82,12.5,12.82,,12.992,12.7904,12.6916,12.82,12.6916
19,12.6916,12.7904,12.82,,12.7904,12.85,12.5,12.82,12.5,,12.7904,12.992,12.7904,12.6916,12.82,12.6916
20,12.6916,12.7904,12.82,12.7904,12.7904,12.85,12.5,12.82,12.5,12.82,,12.992,12.7904,12.6916,12.82,12.6916
21,12.6916,12.6916,12.7904,,12.7904,12.85,12.5,12.7904,12.5,,12.7904,12.992,12.7904,12.5,12.82,12.6916
22,12.6916,12.6916,12.7904,12.7904,12.7904,12.85,12.5,12.7904,12.5,12.82,,12.992,12.7904,12.5,12.82,12.6916
23,12.6916,12.6916,12.7904,,12.7904,12.85,12.5,12.7904,12.5,,12.7904,12.992,12.6916,12.5,12.82,12.6916
24,12.6916,12.6916,12.7904,12.7904,12.7904,12.85,12.5,12.7904,12.5,12.82,,12.8664,12.6916,12.5,12.82,12.6916
25,12.6916,12.6916,12.7904,,12.7904,12.85,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.6916
26,12.6916,12.6916,12.7904,12.7904,12.7904,12.85,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.6916
27,12.6916,12.6916,12.7904,,12.7904,12.85,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.6916
28,12.6916,12.6916,12.7904,12.5,12.7904,12.85,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.6916
29,12.6916,12.6916,12.7904,,12.7904,12.73,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.6916
30,12.6916,12.6916,12.7904,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.6916
31,12.6916,12.6916,12.7904,,12.7904,12.73,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.6916
32,12.6916,12.6916,12.7904,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.6916
33,12.6916,12.6916,12.7904,,12.7904,12.73,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.5
34,12.6916,12.6916,12.7904,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
35,12.6916,12.6916,12.7904,,12.7904,12.73,12.5,12.7904,12.5,,12.7904,12.6916,12.6916,12.5,12.82,12.5
36,12.6916,12.6916,12.7904,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
37,12.6916,12.6916,12.5,,12.7904,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
38,12.6916,12.6916,12.5,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
39,12.6916,12.6916,12.5,,12.7904,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
40,12.6916,12.6916,12.5,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
41,12.6916,12.6916,12.5,,12.7904,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
42,12.6916,12.6916,12.5,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
43,12.6916,12.6916,12.5,,12.7904,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
44,12.6916,12.6916,12.5,12.5,12.7904,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
45,12.6916,12.6916,12.5,,12.7904,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
46,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
47,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
48,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
49,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
50,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
51,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
52,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
53,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.6916,12.6916,12.6916,12.5,12.82,12.5
54,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.6916,12.6916,12.5,12.82,12.5
55,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.6916,12.5,12.6916,12.5,12.82,12.5
56,12.6916,12.6916,12.5,12.5,12.6916,12.73,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
57,12.6916,12.6916,12.5,,12.6916,12.73,12.5,12.7904,12.5,,12.5,12.5,12.6916,12.5,12.82,12.5
58,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
59,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,12.5,12.5,12.6916,12.5,12.82,12.5
60,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
61,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,12.5,12.5,12.6916,12.5,12.82,12.5
62,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
63,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,12.5,12.5,12.6916,12.5,12.82,12.5
64,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
65,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
66,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
67,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
68,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
69,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
70,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
71,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
72,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
73,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
74,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
75,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
76,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
77,12.6916,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
78,12.6916,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,12.5,12.6916,12.5,12.82,12.5
79,,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,12.5,12.6916,12.5,12.82,12.5
80,,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,,12.6916,12.5,12.82,12.5
81,,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,,12.6916,12.5,12.82,12.5
82,,12.6916,12.5,12.5,12.6916,12.6916,12.5,12.7904,12.5,12.82,,,12.6916,12.5,12.82,12.5
83,,12.6916,12.5,,12.6916,12.6916,12.5,12.7904,12.5,,,,12.6916,12.5,12.82,12.5
84,,12.6916,12.5,12.5,12.6916,,12.5,12.7904,12.5,12.82,,,12.6916,12.5,12.82,12.5
85,,12.6916,12.5,,12.6916,,12.5,12.7904,12.5,,,,12.6916,12.5,12.82,12.5
86,,12.6916,12.5,12.5,12.6916,,12.5,12.7904,12.5,12.82,,,12.6916,12.5,12.82,12.5
87,,12.6916,12.5,,12.5,,12.5,12.6916,12.5,,,,12.6916,12.5,12.82,12.5
88,,12.6916,12.5,12.5,12.5,,12.5,12.6916,12.5,12.82,,,12.6916,12.5,12.82,12.5
89,,12.6916,12.5,,12.5,,12.5,12.6916,12.5,,,,12.6916,12.5,12.82,12.5
90,,12.6916,12.5,12.5,12.5,,12.5,12.6916,12.5,12.82,,,12.6916,12.5,12.82,12.5
91,,12.6916,12.5,,12.5,,12.5,12.6916,12.5,,,,12.6916,12.5,12.82,12.5
92,,12.6916,12.5,12.5,12.5,,12.5,12.6916,12.5,12.82,,,12.6916,12.5,12.82,12.5
93,,12.6916,12.5,,12.5,,12.5,12.6916,12.5,,,,12.6916,12.5,12.7904,12.5
94,,12.6916,12.5,12.5,12.5,,12.5,12.6916,12.5,12.82,,,12.6916,12.5,12.7904,12.5
95,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
96,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,12.82,,,12.6916,12.5,12.7904,12.5
97,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
98,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,12.82,,,12.6916,12.5,12.7904,12.5
99,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
100,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,12.5,,,12.6916,12.5,12.7904,12.5
101,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
102,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
103,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
104,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.7904,12.5
105,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
106,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
107,,12.6916,12.5,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
108,,12.6916,12.5,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
109,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
110,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
111,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
112,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
113,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
114,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
115,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.6916,12.5
116,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
117,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
118,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
119,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
120,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
121,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
122,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
123,,12.6916,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
124,,12.6916,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,12.5,12.5
